playerID_A,playerID_B,name_A,name_B,birthYear,birthMonth,birthDay,name_similarity
106583,73575132,Chiahao Sung,Chia-Hao Sung,1992,9,6,1
105841,41945131,Yoshitomo Tsutsugo,Yoshitomo Tsutsugoh,1991,11,26,0.973
106774,81785136,Kosuke Sakaguchi,Kousuke Sakaguchi,1999,8,15,0.97
105947,61965131,Shota Dobayashi,Shota Dohbayashi,1991,8,17,0.968
106755,1305138,Shinichi Onuki,Shinichi Ohnuki,1994,2,3,0.966
106677,23125136,Yudai Yamamoto,Yuudai Yamamoto,1998,9,11,0.966
106643,1005134,Koya Takahashi,Kouya Takahashi,1998,9,27,0.966
106618,21325136,Takumi Oshiro,Takumi Ohshiro,1993,2,11,0.963
106940,61665151,Kouki Matsuoka,Koki Matsuoka,2000,8,31,0.963
106003,41745135,Kensuke Kondo,Kensuke Kondoh,1993,8,9,0.963
106382,81785132,Taisuke Kondo,Taisuke Kondoh,1991,5,29,0.963
106384,41545132,Takayuki Kato,Takayuki Katoh,1992,6,3,0.963
107110,51555155,Koki Kajiwara,Kouki Kajiwara,1999,9,19,0.963
106567,21325134,Yusuke Oyama,Yusuke Ohyama,1994,12,19,0.96
107073,53155155,Ko Matsukawa,Kou Matsukawa,2003,10,20,0.96
105753,1305131,Yohei Oshima,Yohei Ohshima,1985,11,9,0.96
106186,61365139,Daichi Osera,Daichi Ohsera,1991,6,17,0.96
106795,71375136,Atsushi Endo,Atsushi Endoh,1999,4,8,0.96
106931,1405138,Kouta Hayashi,Kota Hayashi,2000,11,16,0.96
106322,41545130,Takuma Kato,Takuma Katoh,1992,4,29,0.957
105854,81785133,Shunta Goto,Shunta Gotoh,1993,3,5,0.957
106400,11515132,Koji Oshiro,Koji Ohshiro,1993,6,14,0.957
106739,81785138,Ryusei Sato,Ryusei Satoh,1997,1,15,0.957
106605,91795134,Takuya Kori,Takuya Kohri,1998,4,25,0.957
105642,81185116,Hikaru Ito,Hikaru Itoh,1989,4,23,0.952
106823,41145138,Yukiya Ito,Yukiya Itoh,1996,8,30,0.952
106595,51655130,Koya Fujii,Kouya Fujii,1996,7,29,0.952
106794,71375138,Hikaru Ota,Hikaru Ohta,1996,10,14,0.952
106740,71375134,Ryusei Oe,Ryusei Ohe,1999,1,15,0.947
106575,81385130,Kengo Ota,Kengo Ohta,1997,1,19,0.947
105930,11515133,Yudai Ono,Yudai Ohno,1988,9,26,0.947
106785,81385138,Yuya Ogo,Yuya Ogoh,1996,8,3,0.941
106832,91395138,Ryo Ota,Ryo Ohta,2001,2,14,0.933
107151,81785153,Junpei Kawarada,Jumpei Kawarada,2002,5,21,0.933
106707,41345136,Kotaro Otake,Koutaro Ohtake,1995,6,29,0.923
106817,21225136,Koo Nakagawa,Koh Nakagawa,1999,10,2,0.917
106874,61465151,Syota Hamaya,Shota Hamaya,1999,1,26,0.917
106468,11915130,Koki Saito,Kohki Saitoh,1996,12,18,0.909
106178,71775139,Aren Kuri,Allen Kuri,1991,9,1,0.842
106988,53755138,"Jr., Carter Stewart",Jr. Stewart,1999,11,2,0.741
106522,71575134,Takuya Kato,Takuya Yasaki,1994,12,31,0.667
